"table_name","column_name","data_type"
"item_venda","id_item_venda","integer"
"item_venda","id_venda","integer"
"item_venda","id_produto","integer"
"item_venda","quantidade","integer"
"item_venda","valor_unitario","numeric"
"produto","id_produto","integer"
"produto","nome","character varying"
"produto","preco","numeric"
"produto","quantidade_estoque","integer"
"venda","id_venda","integer"
"venda","data_hora","timestamp without time zone"
"venda","valor_total","numeric"
"venda","ativa","boolean"
